
2025/02/26 (09:52:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/26 (10:35:35) | ===> btop++ v.1.4.0
2025/02/26 (10:35:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/26 (10:51:42) | ===> btop++ v.1.4.0
2025/02/26 (10:51:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/26 (11:20:18) | ===> btop++ v.1.4.0
2025/02/26 (11:20:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/26 (12:27:31) | ===> btop++ v.1.4.0
2025/02/26 (12:27:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/26 (12:49:47) | ===> btop++ v.1.4.0
2025/02/26 (12:49:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/26 (13:44:07) | ===> btop++ v.1.4.0
2025/02/26 (13:44:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/26 (14:00:23) | ===> btop++ v.1.4.0
2025/02/26 (14:00:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/26 (14:42:29) | ===> btop++ v.1.4.0
2025/02/26 (14:42:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/26 (15:27:25) | ===> btop++ v.1.4.0
2025/02/26 (15:27:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/26 (15:58:51) | ===> btop++ v.1.4.0
2025/02/26 (15:58:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/26 (16:05:33) | ===> btop++ v.1.4.0
2025/02/26 (16:05:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/26 (17:30:50) | ===> btop++ v.1.4.0
2025/02/26 (17:30:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/26 (20:34:47) | ===> btop++ v.1.4.0
2025/02/26 (20:34:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/26 (20:37:05) | ===> btop++ v.1.4.0
2025/02/26 (20:37:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/26 (20:40:30) | ===> btop++ v.1.4.0
2025/02/26 (20:40:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/26 (20:43:35) | ===> btop++ v.1.4.0
2025/02/26 (20:43:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/26 (20:50:42) | ===> btop++ v.1.4.0
2025/02/26 (20:50:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/26 (20:57:30) | ===> btop++ v.1.4.0
2025/02/26 (20:57:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/26 (21:05:31) | ===> btop++ v.1.4.0
2025/02/26 (21:05:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/27 (09:38:07) | ===> btop++ v.1.4.0
2025/02/27 (09:38:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/27 (09:40:32) | ===> btop++ v.1.4.0
2025/02/27 (09:40:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/27 (09:42:52) | ===> btop++ v.1.4.0
2025/02/27 (09:42:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/27 (10:10:27) | ===> btop++ v.1.4.0
2025/02/27 (10:10:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/27 (10:18:21) | ===> btop++ v.1.4.0
2025/02/27 (10:18:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/27 (10:20:12) | ===> btop++ v.1.4.0
2025/02/27 (10:20:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/27 (12:27:38) | ===> btop++ v.1.4.0
2025/02/27 (12:27:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/27 (12:28:09) | ===> btop++ v.1.4.0
2025/02/27 (12:28:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/27 (13:21:33) | ===> btop++ v.1.4.0
2025/02/27 (13:21:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/27 (13:24:19) | ===> btop++ v.1.4.0
2025/02/27 (13:24:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/27 (13:33:20) | ===> btop++ v.1.4.0
2025/02/27 (13:33:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/27 (13:37:18) | ===> btop++ v.1.4.0
2025/02/27 (13:37:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/27 (13:44:22) | ===> btop++ v.1.4.0
2025/02/27 (13:44:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/27 (13:48:05) | ===> btop++ v.1.4.0
2025/02/27 (13:48:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/27 (14:02:40) | ===> btop++ v.1.4.0
2025/02/27 (14:02:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/27 (15:09:51) | ===> btop++ v.1.4.0
2025/02/27 (15:09:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/27 (16:02:51) | ===> btop++ v.1.4.0
2025/02/27 (16:02:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/27 (16:22:52) | ===> btop++ v.1.4.0
2025/02/27 (16:22:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/27 (16:44:06) | ===> btop++ v.1.4.0
2025/02/27 (16:44:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/27 (16:48:14) | ===> btop++ v.1.4.0
2025/02/27 (16:48:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/27 (17:39:29) | ===> btop++ v.1.4.0
2025/02/27 (17:39:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/27 (17:40:23) | ===> btop++ v.1.4.0
2025/02/27 (17:40:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/27 (17:40:39) | ===> btop++ v.1.4.0
2025/02/27 (17:40:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/27 (17:42:20) | ===> btop++ v.1.4.0
2025/02/27 (17:42:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/27 (19:35:37) | ===> btop++ v.1.4.0
2025/02/27 (19:35:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/27 (19:37:04) | ===> btop++ v.1.4.0
2025/02/27 (19:37:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/27 (19:39:07) | ===> btop++ v.1.4.0
2025/02/27 (19:39:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/27 (19:51:44) | ===> btop++ v.1.4.0
2025/02/27 (19:51:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/27 (20:19:48) | ===> btop++ v.1.4.0
2025/02/27 (20:19:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/27 (20:39:11) | ===> btop++ v.1.4.0
2025/02/27 (20:39:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/27 (20:46:41) | ===> btop++ v.1.4.0
2025/02/27 (20:46:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/27 (20:57:17) | ===> btop++ v.1.4.0
2025/02/27 (20:57:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/27 (21:44:45) | ===> btop++ v.1.4.0
2025/02/27 (21:44:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/27 (21:48:48) | ===> btop++ v.1.4.0
2025/02/27 (21:48:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/27 (21:51:41) | ===> btop++ v.1.4.0
2025/02/27 (21:51:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/27 (21:53:30) | ===> btop++ v.1.4.0
2025/02/27 (21:53:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/27 (22:05:18) | ===> btop++ v.1.4.0
2025/02/27 (22:05:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/27 (22:07:35) | ===> btop++ v.1.4.0
2025/02/27 (22:07:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/27 (22:10:02) | ===> btop++ v.1.4.0
2025/02/27 (22:10:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/27 (22:27:05) | ===> btop++ v.1.4.0
2025/02/27 (22:27:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/27 (22:29:18) | ===> btop++ v.1.4.0
2025/02/27 (22:29:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/27 (22:52:17) | ===> btop++ v.1.4.0
2025/02/27 (22:52:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/27 (22:55:59) | ===> btop++ v.1.4.0
2025/02/27 (22:55:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/27 (22:57:04) | ===> btop++ v.1.4.0
2025/02/27 (22:57:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/27 (23:01:37) | ===> btop++ v.1.4.0
2025/02/27 (23:01:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/27 (23:01:43) | ===> btop++ v.1.4.0
2025/02/27 (23:01:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/27 (23:08:49) | ===> btop++ v.1.4.0
2025/02/27 (23:08:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/27 (23:09:22) | ===> btop++ v.1.4.0
2025/02/27 (23:09:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/28 (08:39:53) | ===> btop++ v.1.4.0
2025/02/28 (08:39:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/28 (08:42:42) | ===> btop++ v.1.4.0
2025/02/28 (08:42:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/28 (08:44:00) | ===> btop++ v.1.4.0
2025/02/28 (08:44:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/28 (08:49:58) | ===> btop++ v.1.4.0
2025/02/28 (08:49:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/28 (08:52:55) | ===> btop++ v.1.4.0
2025/02/28 (08:52:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/28 (08:56:34) | ===> btop++ v.1.4.0
2025/02/28 (08:56:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/28 (08:56:39) | ===> btop++ v.1.4.0
2025/02/28 (08:56:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/28 (08:59:50) | ===> btop++ v.1.4.0
2025/02/28 (08:59:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/28 (09:14:58) | ===> btop++ v.1.4.0
2025/02/28 (09:14:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/28 (09:15:38) | ===> btop++ v.1.4.0
2025/02/28 (09:15:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/28 (10:21:44) | ===> btop++ v.1.4.0
2025/02/28 (10:21:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/28 (10:39:22) | ===> btop++ v.1.4.0
2025/02/28 (10:39:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/28 (10:39:31) | ===> btop++ v.1.4.0
2025/02/28 (10:39:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/28 (10:40:01) | ===> btop++ v.1.4.0
2025/02/28 (10:40:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/28 (10:41:12) | ===> btop++ v.1.4.0
2025/02/28 (10:41:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/28 (11:17:43) | ===> btop++ v.1.4.0
2025/02/28 (11:17:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/28 (11:17:57) | ===> btop++ v.1.4.0
2025/02/28 (11:17:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/28 (11:35:29) | ===> btop++ v.1.4.0
2025/02/28 (11:35:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/28 (11:55:38) | ===> btop++ v.1.4.0
2025/02/28 (11:55:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/28 (12:32:36) | ===> btop++ v.1.4.0
